gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,associate's degree,standard,none,45,41,42
male,group D,some high school,standard,completed,88,73,74
female,group B,high school,standard,completed,71,79,76
male,group E,bachelor's degree,standard,completed,78,61,68
male,group E,some college,standard,none,71,59,58
male,group A,associate's degree,free/reduced,completed,34,57,55
female,group C,associate's degree,free/reduced,none,56,62,62
male,group C,associate's degree,standard,none,47,47,40
male,group B,bachelor's degree,free/reduced,none,93,77,78
female,group C,high school,free/reduced,none,40,61,60
male,group C,associate's degree,standard,completed,74,80,78
female,group C,associate's degree,standard,none,62,70,70
male,group E,some college,standard,completed,84,77,64
male,group E,associate's degree,free/reduced,completed,47,42,46
male,group A,some high school,free/reduced,none,70,73,63
female,group E,master's degree,free/reduced,none,45,60,55
female,group C,bachelor's degree,standard,completed,56,76,73
female,group E,associate's degree,standard,none,88,96,94
male,group C,some high school,standard,none,72,68,68
female,group E,bachelor's degree,standard,completed,70,71,74
male,group E,bachelor's degree,free/reduced,completed,72,66,72
male,group A,some college,standard,none,56,43,42
male,group B,bachelor's degree,free/reduced,none,64,61,56
female,group B,high school,standard,none,74,73,73
female,group D,associate's degree,standard,none,67,68,73
female,group D,associate's degree,standard,completed,73,74,79
female,group A,master's degree,free/reduced,none,48,68,73
male,group D,associate's degree,free/reduced,completed,79,81,79
female,group C,some high school,free/reduced,completed,28,39,43
female,group B,associate's degree,free/reduced,none,53,69,68
male,group D,some college,standard,none,86,78,76
female,group B,high school,standard,completed,66,76,75
male,group C,some college,free/reduced,completed,52,47,51
female,group B,high school,free/reduced,completed,44,53,58
female,group C,associate's degree,standard,none,59,66,65
male,group D,some college,standard,completed,79,60,62
male,group C,associate's degree,free/reduced,completed,67,67,68
female,group C,high school,free/reduced,none,36,42,37
male,group C,high school,standard,none,53,53,47
male,group B,associate's degree,free/reduced,completed,83,77,75
male,group C,high school,standard,none,84,67,63
male,group C,high school,standard,completed,54,54,55
female,group E,high school,free/reduced,none,37,46,37
female,group D,master's degree,standard,none,53,60,63
female,group C,high school,standard,completed,61,61,79
female,group C,associate's degree,standard,none,57,76,69
female,group B,associate's degree,free/reduced,none,49,61,56
female,group B,some college,free/reduced,none,58,62,63
male,group D,bachelor's degree,standard,none,80,72,71
female,group E,master's degree,free/reduced,none,83,86,87
male,group B,some college,standard,completed,88,87,72
male,group C,high school,standard,completed,58,54,56
female,group C,some high school,free/reduced,none,67,85,78
male,group A,some high school,standard,completed,44,52,51
female,group D,high school,free/reduced,none,48,55,48
male,group E,associate's degree,free/reduced,completed,93,70,81
male,group A,bachelor's degree,standard,none,64,56,60
male,group D,some college,standard,completed,74,63,67
female,group D,some college,free/reduced,none,57,65,72
male,group E,some high school,free/reduced,completed,75,83,80
female,group A,some high school,standard,completed,87,92,90
female,group D,bachelor's degree,free/reduced,completed,95,100,98
female,group C,associate's degree,standard,none,62,72,70
female,group E,associate's degree,standard,completed,83,88,86
male,group C,high school,standard,none,63,54,50
male,group C,some college,standard,none,74,78,75
male,group D,associate's degree,standard,completed,86,83,86
male,group B,some high school,standard,completed,63,65,67
female,group C,some college,free/reduced,none,48,64,66
female,group B,high school,standard,none,63,78,70
female,group B,some high school,free/reduced,none,24,38,25
male,group D,high school,standard,none,70,73,70
female,group B,some college,standard,none,71,77,79
female,group D,some high school,standard,none,73,86,84
female,group C,high school,standard,none,59,66,73
female,group E,some college,standard,completed,88,85,92
female,group A,bachelor's degree,standard,none,58,70,72
male,group C,high school,standard,none,67,63,53
male,group D,high school,standard,none,51,51,54
female,group C,bachelor's degree,free/reduced,none,43,61,63
female,group B,some high school,free/reduced,completed,64,78,81
female,group D,bachelor's degree,standard,none,90,98,100
male,group E,associate's degree,standard,completed,67,63,65
female,group B,bachelor's degree,free/reduced,none,78,89,87
female,group E,high school,standard,none,78,76,70
female,group C,some college,standard,none,53,62,68
female,group B,associate's degree,standard,none,46,52,56
male,group D,some high school,standard,none,79,75,78
male,group C,some high school,standard,completed,77,78,71
male,group C,associate's degree,standard,completed,76,81,76
male,group E,some college,standard,none,86,78,73
male,group C,high school,free/reduced,none,65,57,54
female,group A,high school,free/reduced,completed,37,48,41
male,group D,high school,standard,none,46,48,46
male,group A,high school,standard,none,61,51,51
female,group D,associate's degree,standard,none,70,76,70
female,group B,associate's degree,standard,none,54,69,65
female,group C,some high school,standard,none,71,74,76
male,group A,some high school,standard,completed,58,67,72
male,group D,some college,free/reduced,none,68,64,54
male,group D,master's degree,standard,none,81,73,73
male,group D,some high school,standard,completed,62,67,66
male,group C,associate's degree,standard,completed,82,70,76
female,group D,associate's degree,standard,none,80,98,89
female,group B,high school,free/reduced,completed,76,82,82
male,group C,high school,free/reduced,none,64,53,56
female,group B,high school,free/reduced,none,50,63,57
female,group D,some college,standard,none,72,93,88
female,group E,bachelor's degree,standard,none,98,100,100
female,group B,some high school,standard,none,39,59,50
female,group C,some high school,standard,none,78,95,89
female,group D,some high school,free/reduced,completed,41,67,67
female,group B,high school,standard,completed,66,80,84
female,group C,bachelor's degree,free/reduced,completed,62,74,83
male,group A,bachelor's degree,free/reduced,completed,50,61,60
female,group C,associate's degree,standard,completed,69,78,77
female,group B,some high school,standard,none,74,78,77
male,group B,some high school,standard,completed,83,85,80
male,group B,some college,standard,completed,67,78,78
male,group E,some college,standard,none,86,73,75
male,group B,some college,standard,none,71,64,61
male,group B,associate's degree,free/reduced,none,58,57,52
female,group B,associate's degree,free/reduced,none,54,67,63
male,group E,high school,standard,none,85,73,63
female,group C,some college,standard,none,55,70,71
male,group D,high school,standard,none,52,52,51
female,group E,some college,free/reduced,completed,37,53,54
male,group E,some college,standard,none,71,72,65
male,group C,high school,free/reduced,none,64,62,59
female,group E,some college,standard,none,88,90,92
female,group D,associate's degree,free/reduced,completed,42,59,57
male,group A,some college,standard,completed,58,54,50
female,group D,some high school,standard,completed,65,79,80
male,group C,associate's degree,standard,none,62,51,51
male,group C,associate's degree,free/reduced,completed,65,73,67
male,group A,master's degree,free/reduced,none,72,74,73
male,group C,some college,standard,none,80,87,78
female,group C,associate's degree,free/reduced,completed,85,95,91
female,group D,some college,free/reduced,none,55,75,70
female,group D,high school,standard,completed,52,71,71
female,group E,some college,standard,none,85,85,93
male,group D,high school,standard,completed,65,65,66
male,group D,bachelor's degree,free/reduced,none,63,70,67
male,group D,bachelor's degree,free/reduced,none,63,64,66
male,group B,high school,free/reduced,none,65,79,70
male,group D,some college,free/reduced,none,63,45,54
male,group D,some college,free/reduced,none,70,60,62
male,group C,bachelor's degree,free/reduced,none,55,59,54
female,group D,some college,free/reduced,none,54,68,71
male,group D,some high school,standard,none,90,83,81
male,group A,high school,standard,none,56,46,43
female,group D,some college,free/reduced,completed,65,84,81
male,group B,some high school,free/reduced,none,46,56,46
male,group D,high school,standard,none,54,47,56
female,group C,some college,standard,none,57,74,76
female,group C,high school,standard,none,61,65,75
female,group B,some college,free/reduced,none,57,68,65
female,group C,high school,free/reduced,none,66,76,71
female,group A,some high school,standard,completed,82,89,94
male,group E,associate's degree,free/reduced,none,89,89,76
female,group D,high school,free/reduced,completed,53,54,55
male,group D,associate's degree,free/reduced,none,95,90,74
female,group D,some college,standard,completed,77,82,89
female,group C,high school,standard,none,29,27,30
male,group A,associate's degree,standard,none,62,61,64
female,group E,some college,standard,none,60,72,70
female,group C,some college,standard,completed,62,80,79
male,group A,some high school,free/reduced,none,57,45,44
male,group D,some college,standard,none,70,49,53
male,group C,master's degree,free/reduced,none,58,59,51
male,group E,high school,standard,none,74,66,54
female,group E,high school,free/reduced,completed,55,74,76
female,group E,associate's degree,standard,none,83,92,89
female,group D,associate's degree,standard,none,75,75,71
female,group D,some college,free/reduced,completed,72,80,80
male,group B,bachelor's degree,standard,none,63,61,60
female,group D,some college,free/reduced,none,55,66,61
male,group C,some high school,free/reduced,completed,58,69,64
female,group D,associate's degree,free/reduced,none,53,58,55
male,group C,some high school,standard,none,59,63,52
female,group E,master's degree,free/reduced,none,48,57,53
female,group D,some high school,free/reduced,completed,41,64,62
female,group A,associate's degree,standard,none,82,95,91
male,group D,bachelor's degree,standard,none,90,80,82
male,group C,some college,standard,none,57,58,58
male,group C,bachelor's degree,free/reduced,none,57,64,62
male,group D,bachelor's degree,free/reduced,none,69,73,67
female,group A,some high school,standard,none,46,67,65
male,group C,some high school,standard,none,49,52,40
female,group C,associate's degree,standard,none,58,75,66
female,group D,high school,standard,completed,57,59,64
female,group C,high school,standard,completed,62,60,75
male,group C,master's degree,free/reduced,completed,64,66,76
female,group D,master's degree,standard,none,64,64,65
female,group D,some college,free/reduced,completed,57,61,73
female,group D,master's degree,free/reduced,completed,61,71,80
male,group C,some college,standard,completed,97,88,91
female,group B,bachelor's degree,free/reduced,none,78,79,75
male,group B,some college,standard,none,84,68,64
male,group B,high school,standard,completed,76,65,55
male,group E,some college,standard,completed,100,90,84
female,group C,associate's degree,standard,none,64,76,81
male,group B,high school,standard,none,64,58,55
female,group D,some high school,standard,none,82,88,80
female,group B,some high school,standard,none,75,79,78
female,group C,some high school,standard,completed,70,83,75
male,group B,some high school,standard,none,76,63,56
female,group B,some high school,free/reduced,completed,55,67,73
female,group D,high school,standard,completed,57,66,75
female,group C,bachelor's degree,standard,completed,92,100,97
female,group C,some college,free/reduced,none,48,61,67
male,group E,some college,standard,completed,97,87,76
female,group C,associate's degree,standard,none,90,86,87
male,group A,high school,free/reduced,none,48,46,38
male,group A,associate's degree,free/reduced,none,44,55,44
male,group D,bachelor's degree,free/reduced,completed,41,43,39
female,group C,bachelor's degree,free/reduced,completed,45,63,66
male,group D,high school,standard,none,63,54,51
female,group D,some college,free/reduced,none,77,87,89
female,group B,some college,standard,none,82,86,86
male,group D,high school,standard,none,52,47,42
male,group E,high school,standard,completed,87,89,80
male,group C,some high school,standard,completed,78,76,71
female,group B,associate's degree,standard,none,57,64,65
male,group E,high school,free/reduced,completed,55,55,54
male,group B,some college,standard,none,81,68,67
female,group E,associate's degree,standard,none,96,100,100
male,group D,some college,standard,none,71,52,52
female,group C,some college,standard,none,52,61,56
female,group B,associate's degree,free/reduced,none,54,70,66
male,group D,some high school,standard,none,66,65,60
male,group D,some college,standard,completed,84,80,85
male,group C,some college,free/reduced,completed,67,73,72
female,group C,bachelor's degree,standard,none,88,92,88
male,group A,associate's degree,free/reduced,none,63,60,54
female,group B,bachelor's degree,standard,completed,64,74,80
female,group E,master's degree,free/reduced,none,44,60,57
male,group C,some college,standard,completed,100,84,87
female,group D,some college,free/reduced,none,47,66,58
male,group D,bachelor's degree,standard,none,75,71,72
female,group C,associate's degree,standard,none,53,64,54
male,group B,some college,free/reduced,none,40,41,32
male,group D,high school,standard,none,59,50,50
male,group A,some high school,free/reduced,none,64,58,55
female,group A,some high school,free/reduced,none,48,60,47
male,group E,bachelor's degree,standard,none,80,61,63
female,group C,bachelor's degree,standard,none,68,72,77
male,group B,high school,standard,none,62,66,61
female,group B,some college,free/reduced,none,60,70,66
female,group C,bachelor's degree,free/reduced,none,44,67,63
male,group D,associate's degree,standard,none,59,49,51
male,group B,associate's degree,free/reduced,none,59,57,56
male,group D,some college,standard,completed,84,80,88
male,group D,associate's degree,standard,none,71,79,78
male,group D,some high school,free/reduced,none,57,50,51
male,group C,high school,free/reduced,completed,57,48,50
female,group C,some college,standard,completed,69,70,84
male,group C,some college,standard,none,53,39,39
male,group C,bachelor's degree,standard,completed,94,84,77
male,group C,bachelor's degree,free/reduced,none,61,70,61
male,group A,some high school,standard,completed,47,49,50
male,group B,high school,standard,completed,50,47,46
female,group B,bachelor's degree,standard,none,94,97,96
male,group C,some college,free/reduced,completed,67,74,67
female,group E,master's degree,standard,completed,95,100,100
female,group C,some college,free/reduced,completed,68,74,74
male,group E,bachelor's degree,free/reduced,completed,69,66,73
male,group C,associate's degree,standard,completed,98,87,92
female,group D,some high school,standard,none,69,85,80
female,group D,some college,standard,completed,75,74,77
female,group C,some high school,standard,completed,67,72,75
female,group E,bachelor's degree,standard,none,69,70,76
female,group C,associate's degree,standard,completed,57,78,80
male,group E,associate's degree,free/reduced,completed,98,100,90
male,group C,some high school,free/reduced,completed,53,35,39
male,group C,high school,standard,none,60,58,55
male,group D,some college,standard,completed,59,55,59
female,group E,associate's degree,standard,none,68,75,67
female,group C,high school,standard,completed,57,64,76
female,group B,some college,free/reduced,none,42,55,52
male,group E,high school,standard,completed,88,90,85
female,group B,some high school,free/reduced,completed,66,80,75
female,group D,some college,standard,completed,74,74,81
female,group C,high school,standard,none,65,71,77
female,group C,associate's degree,standard,completed,61,76,70
male,group E,associate's degree,standard,none,90,74,78
male,group C,associate's degree,standard,completed,85,100,95
male,group E,high school,free/reduced,completed,86,82,75
male,group B,some college,standard,none,56,50,53
male,group E,associate's degree,free/reduced,none,65,57,52
male,group C,high school,standard,completed,70,57,52
female,group B,master's degree,free/reduced,completed,57,74,77
male,group D,some high school,standard,none,73,65,62
male,group E,some college,standard,none,53,54,47
male,group A,some high school,standard,none,51,33,37
female,group B,associate's degree,standard,none,60,63,64
male,group E,high school,standard,none,89,78,70
male,group E,some high school,standard,completed,68,50,56
male,group A,high school,free/reduced,none,53,59,40
male,group A,bachelor's degree,standard,none,63,64,61
female,group D,some high school,standard,none,60,64,62
female,group E,master's degree,standard,none,61,71,71
female,group C,associate's degree,standard,completed,74,82,93
male,group C,high school,standard,completed,73,56,53
male,group C,bachelor's degree,free/reduced,none,55,59,55
male,group D,bachelor's degree,free/reduced,none,51,44,47
male,group E,bachelor's degree,standard,completed,86,64,73
female,group E,some college,standard,none,100,92,94
female,group C,some college,free/reduced,none,81,92,89
male,group C,high school,standard,none,77,81,68
male,group D,associate's degree,standard,none,79,69,72
male,group E,some high school,standard,completed,71,63,60
male,group E,high school,free/reduced,completed,58,53,52
male,group D,high school,standard,none,46,33,34
male,group C,associate's degree,free/reduced,completed,57,50,57
female,group A,some high school,free/reduced,none,45,64,58
male,group E,some high school,standard,none,81,66,59
female,group D,some college,standard,none,52,58,53
female,group C,some high school,standard,completed,78,89,86
male,group C,some college,free/reduced,none,62,63,55
male,group A,high school,standard,none,72,75,64
female,group A,bachelor's degree,standard,none,44,57,62
female,group C,bachelor's degree,free/reduced,none,43,66,59
female,group B,associate's degree,standard,none,72,75,76
female,group A,high school,free/reduced,completed,79,86,83
female,group B,high school,free/reduced,none,70,89,83
male,group C,some college,standard,none,69,58,50
male,group D,bachelor's degree,free/reduced,completed,43,42,36
male,group B,some college,free/reduced,completed,58,62,64
female,group C,bachelor's degree,free/reduced,completed,45,71,78
female,group A,bachelor's degree,standard,none,61,72,72
male,group C,some high school,standard,none,61,63,53
male,group C,associate's degree,standard,none,83,75,70
male,group B,some high school,free/reduced,completed,48,50,50
male,group E,associate's degree,standard,none,71,66,65
male,group E,bachelor's degree,standard,none,85,60,62
male,group A,some high school,standard,completed,62,62,66
female,group B,bachelor's degree,free/reduced,none,80,87,85
female,group C,high school,free/reduced,none,37,52,44
female,group E,master's degree,standard,none,80,91,93
male,group E,bachelor's degree,standard,completed,99,99,99
female,group A,some college,standard,none,55,60,68
male,group D,some college,standard,none,90,72,79
female,group D,associate's degree,standard,none,76,80,87
male,group E,associate's degree,standard,completed,61,57,51
female,group A,some college,free/reduced,none,49,64,59
male,group B,some high school,standard,completed,64,62,69
female,group E,associate's degree,free/reduced,none,49,53,52
male,group A,some college,standard,none,51,45,44
male,group D,some high school,standard,completed,72,69,76
male,group A,some high school,free/reduced,none,39,40,34
male,group E,high school,free/reduced,completed,58,55,55
male,group B,associate's degree,standard,none,64,44,40
male,group A,high school,free/reduced,completed,69,67,69
female,group C,some high school,standard,none,76,88,88
male,group C,master's degree,free/reduced,completed,45,40,46
male,group C,some college,standard,none,61,57,60
male,group D,associate's degree,free/reduced,none,89,89,76
female,group B,some college,standard,completed,87,92,94
female,group C,high school,free/reduced,none,50,71,65
male,group C,some high school,free/reduced,none,70,71,69
female,group B,bachelor's degree,free/reduced,none,75,85,82
female,group D,master's degree,standard,none,52,60,68
male,group A,high school,standard,none,67,67,69
male,group E,some high school,free/reduced,completed,80,81,80
male,group A,bachelor's degree,free/reduced,none,60,70,63
female,group C,high school,free/reduced,none,39,41,42
female,group C,some high school,free/reduced,completed,74,85,86
female,group C,some college,free/reduced,none,35,45,46
female,group B,some high school,standard,completed,66,80,76
female,group C,associate's degree,standard,none,59,76,66
male,group A,some high school,standard,completed,46,41,45
female,group A,high school,free/reduced,completed,52,52,64
male,group D,some college,standard,none,78,66,63
female,group C,associate's degree,free/reduced,none,67,77,78
male,group D,high school,free/reduced,none,46,47,46
male,group C,associate's degree,standard,completed,55,54,52
female,group C,associate's degree,standard,none,94,87,81
female,group C,some college,free/reduced,completed,41,65,69
female,group C,associate's degree,standard,none,38,59,50
female,group B,associate's degree,standard,none,73,83,76
male,group D,some college,standard,completed,67,75,73
female,group C,associate's degree,standard,none,50,53,50
female,group C,high school,standard,none,53,58,63
female,group D,some college,standard,none,79,69,76
female,group B,some high school,standard,none,62,63,68
male,group D,high school,free/reduced,none,59,56,52
male,group C,bachelor's degree,standard,completed,62,61,65
female,group C,high school,standard,none,82,88,81
male,group A,bachelor's degree,standard,completed,80,77,77
male,group D,high school,free/reduced,none,39,37,36
female,group D,master's degree,standard,none,64,71,75
male,group B,some college,standard,none,46,43,42
female,group D,associate's degree,free/reduced,completed,60,75,74
female,group B,high school,standard,none,63,73,70
male,group D,some college,standard,none,88,75,76
male,group B,associate's degree,free/reduced,none,60,56,54
male,group D,associate's degree,standard,none,50,55,52
female,group C,associate's degree,standard,completed,74,79,89
female,group C,high school,free/reduced,completed,54,65,64
female,group D,master's degree,standard,none,55,65,67
female,group C,some high school,standard,none,75,89,86
male,group A,some high school,free/reduced,none,75,86,71
male,group B,associate's degree,free/reduced,none,64,62,59
female,group C,some high school,standard,completed,69,78,75
male,group A,high school,standard,completed,71,74,73
female,group E,high school,standard,none,74,85,72
male,group B,some high school,standard,none,83,80,78
male,group A,high school,standard,none,59,53,47
male,group A,some college,standard,none,71,65,67
female,group C,some college,standard,none,72,78,73
female,group D,some college,standard,completed,81,83,96
male,group E,master's degree,standard,none,88,87,84
female,group E,some college,standard,none,59,63,64
female,group C,some high school,standard,completed,67,76,79
female,group D,high school,standard,completed,54,66,78
male,group E,associate's degree,standard,none,56,45,40
female,group B,high school,standard,none,58,63,60
female,group B,some college,standard,none,82,90,87
female,group D,master's degree,free/reduced,completed,88,99,96
male,group C,associate's degree,free/reduced,completed,65,77,68
male,group D,some high school,free/reduced,none,60,45,40
female,group B,some college,standard,none,77,85,90
male,group C,some college,standard,completed,76,79,81
female,group C,some high school,free/reduced,none,47,59,51
male,group B,high school,free/reduced,none,40,30,26
female,group D,some college,free/reduced,completed,59,61,70
male,group C,high school,standard,completed,59,50,54
male,group B,high school,free/reduced,none,64,74,74
male,group E,associate's degree,standard,completed,64,60,58
male,group C,high school,free/reduced,none,24,33,38
male,group B,some high school,standard,none,69,67,66
female,group E,master's degree,standard,none,61,69,69
female,group B,high school,free/reduced,none,75,84,80
female,group D,some high school,standard,completed,68,58,72
male,group B,some high school,standard,completed,78,83,87
female,group C,some college,free/reduced,completed,44,75,73
female,group E,some college,standard,none,65,70,64
male,group C,high school,standard,none,70,75,72
female,group D,associate's degree,standard,none,77,75,69
male,group D,bachelor's degree,free/reduced,completed,76,71,78
female,group C,some college,standard,completed,72,87,93
female,group D,some college,standard,none,74,88,83
male,group B,high school,standard,none,80,61,64
male,group C,associate's degree,free/reduced,none,67,64,62
female,group C,associate's degree,standard,none,63,74,68
male,group C,high school,standard,none,80,65,65
female,group D,associate's degree,free/reduced,completed,43,59,59
female,group E,associate's degree,standard,completed,83,84,85
male,group D,master's degree,free/reduced,completed,84,88,93
male,group C,master's degree,free/reduced,completed,48,41,43
female,group E,some high school,free/reduced,none,35,45,44
male,group C,associate's degree,standard,none,95,92,94
female,group B,some high school,standard,none,61,66,68
male,group D,bachelor's degree,free/reduced,none,60,67,66
female,group E,bachelor's degree,standard,none,63,72,69
female,group C,some college,free/reduced,none,61,65,62
female,group C,some high school,standard,completed,88,92,89
female,group C,some college,standard,none,72,74,71
male,group B,some college,free/reduced,none,57,58,48
male,group B,bachelor's degree,free/reduced,completed,88,89,86
female,group C,some college,standard,none,70,79,80
female,group B,associate's degree,standard,completed,59,71,66
male,group E,some college,standard,none,87,77,71
male,group D,bachelor's degree,free/reduced,none,65,66,67
female,group C,high school,free/reduced,completed,59,70,62
female,group C,some high school,free/reduced,completed,68,81,86
female,group C,associate's degree,standard,none,88,96,93
male,group C,some college,free/reduced,completed,49,50,56
female,group C,some high school,free/reduced,completed,24,39,46
female,group B,associate's degree,free/reduced,none,56,79,73
male,group D,some college,standard,completed,83,82,87
female,group B,high school,free/reduced,none,7,24,22
female,group D,associate's degree,standard,none,63,67,71
male,group E,high school,standard,none,96,70,71
male,group C,bachelor's degree,free/reduced,none,59,65,63
male,group B,some high school,standard,completed,77,86,87
male,group E,high school,free/reduced,none,53,61,53
male,group E,some college,standard,none,84,77,70
male,group D,some high school,standard,none,75,75,74
female,group A,high school,free/reduced,completed,55,48,59
female,group C,some college,standard,none,56,48,57
female,group D,high school,standard,none,69,77,72
female,group C,associate's degree,standard,completed,69,82,86
female,group C,high school,standard,none,58,75,70
male,group C,master's degree,standard,none,75,78,82
female,group E,high school,standard,none,74,88,81
male,group B,some college,standard,completed,86,85,74
male,group D,some high school,free/reduced,completed,79,78,81
female,group E,associate's degree,standard,completed,93,87,89
female,group A,high school,free/reduced,completed,33,47,40
female,group D,bachelor's degree,standard,none,79,85,77
male,group A,bachelor's degree,standard,completed,90,82,86
male,group D,some college,free/reduced,none,74,63,66
female,group C,associate's degree,standard,none,55,72,70
female,group C,bachelor's degree,standard,completed,57,65,78
female,group B,some college,standard,none,21,38,31
male,group C,associate's degree,standard,completed,82,72,74
male,group C,high school,standard,none,87,89,87
female,group D,bachelor's degree,free/reduced,none,74,83,84
male,group C,high school,standard,none,83,67,60
male,group C,associate's degree,standard,completed,78,79,76
female,group E,high school,standard,none,72,82,69
female,group C,high school,free/reduced,completed,51,68,60
female,group C,some college,standard,none,58,58,66
male,group C,master's degree,free/reduced,completed,46,42,45
female,group D,bachelor's degree,free/reduced,none,28,43,46
male,group E,high school,standard,none,75,63,57
female,group D,master's degree,free/reduced,completed,47,60,63
female,group C,some college,standard,none,86,85,89
male,group D,some high school,standard,none,77,74,72
male,group E,bachelor's degree,free/reduced,completed,71,67,73
male,group D,some high school,standard,completed,77,86,89
male,group A,some high school,standard,completed,68,67,64
female,group B,associate's degree,standard,none,48,50,51
male,group C,some high school,free/reduced,none,84,72,65
male,group C,high school,standard,completed,73,65,66
female,group A,some high school,standard,completed,60,86,78
male,group A,some high school,free/reduced,none,66,58,52
female,group C,associate's degree,free/reduced,none,57,78,67
female,group C,high school,free/reduced,completed,58,70,65
male,group D,high school,free/reduced,none,70,70,65
male,group D,high school,standard,none,90,84,76
male,group D,associate's degree,standard,completed,83,72,75
female,group B,associate's degree,standard,none,58,69,67
male,group D,associate's degree,standard,none,60,57,53
male,group E,some high school,standard,completed,67,53,53
female,group B,some high school,standard,none,34,40,51
female,group E,associate's degree,standard,none,71,75,65
male,group D,associate's degree,standard,none,60,59,49
male,group E,some college,standard,completed,100,89,78
female,group C,high school,standard,none,66,70,67
male,group A,some college,standard,completed,79,71,68
male,group E,high school,standard,none,73,65,57
female,group C,some college,free/reduced,none,20,36,32
female,group E,high school,free/reduced,none,55,57,57
female,group E,associate's degree,standard,completed,85,86,86
female,group B,some high school,free/reduced,completed,74,91,89
male,group E,associate's degree,standard,completed,96,85,85
female,group B,some college,free/reduced,none,61,62,65
female,group D,bachelor's degree,free/reduced,none,28,41,45
female,group E,associate's degree,free/reduced,none,71,83,83
male,group D,associate's degree,standard,completed,67,75,68
female,group B,some high school,standard,completed,58,74,74
male,group D,some college,free/reduced,completed,69,60,63
female,group C,some high school,free/reduced,none,66,84,79
female,group B,some college,free/reduced,none,73,81,79
male,group D,high school,standard,none,40,52,53
female,group C,bachelor's degree,standard,none,83,89,95
female,group B,some high school,standard,none,71,92,81
female,group D,some college,free/reduced,none,67,82,79
male,group D,high school,standard,none,77,71,70
male,group C,bachelor's degree,standard,none,68,62,61
female,group B,associate's degree,free/reduced,none,53,64,67
male,group B,some college,standard,completed,90,96,88
male,group C,high school,free/reduced,none,67,68,59
male,group D,some college,standard,none,69,62,62
male,group E,some college,standard,completed,81,76,67
female,group B,high school,standard,none,44,50,48
male,group D,some high school,free/reduced,completed,83,79,80
male,group C,some college,standard,none,61,60,63
male,group B,associate's degree,free/reduced,none,43,42,41
male,group D,associate's degree,standard,none,91,88,81
female,group C,high school,free/reduced,completed,68,79,84
male,group B,some college,standard,none,45,43,40
male,group C,high school,standard,none,58,58,56
female,group B,associate's degree,free/reduced,none,48,76,70
male,group D,high school,standard,none,41,54,50
female,group C,associate's degree,standard,none,92,88,86
female,group A,associate's degree,standard,completed,53,68,62
female,group A,some high school,standard,none,73,83,77
female,group C,associate's degree,free/reduced,completed,56,71,70
male,group C,associate's degree,free/reduced,completed,81,80,82
female,group D,master's degree,standard,none,93,100,100
female,group D,associate's degree,standard,none,83,93,92
female,group E,associate's degree,standard,none,86,90,87
male,group E,some high school,standard,none,83,66,63
female,group C,some college,free/reduced,none,21,38,29
female,group D,associate's degree,standard,none,61,76,75
female,group D,master's degree,standard,none,78,90,94
female,group D,high school,free/reduced,completed,63,61,71
male,group B,some college,standard,none,71,54,57
male,group A,some high school,free/reduced,none,54,45,41
female,group C,associate's degree,standard,none,65,74,70
male,group D,associate's degree,free/reduced,none,77,74,77
female,group B,high school,standard,none,58,66,63
female,group A,some high school,free/reduced,none,47,43,45
male,group B,high school,free/reduced,none,47,41,44
male,group C,some high school,free/reduced,none,69,70,65
female,group D,associate's degree,standard,completed,72,76,81
female,group D,bachelor's degree,free/reduced,none,77,90,96
female,group D,master's degree,standard,none,55,64,71
female,group B,high school,standard,none,71,71,73
female,group E,some college,free/reduced,completed,75,92,87
male,group B,associate's degree,free/reduced,completed,59,57,53
male,group D,some college,free/reduced,none,62,56,60
male,group A,some college,standard,none,51,41,43
male,group B,bachelor's degree,free/reduced,none,57,62,56
female,group D,some high school,free/reduced,none,51,61,59
female,group C,some college,standard,none,60,67,67
male,group D,some college,standard,none,73,69,74
male,group E,some college,standard,none,74,67,71
female,group D,some college,standard,none,99,100,99
female,group C,bachelor's degree,standard,none,82,88,88
female,group B,bachelor's degree,free/reduced,none,80,78,78
male,group D,high school,standard,none,53,49,54
female,group B,master's degree,free/reduced,completed,50,74,63
female,group A,some high school,standard,completed,94,100,97
female,group E,high school,standard,none,73,77,73
female,group D,high school,standard,none,62,63,67
female,group C,associate's degree,standard,none,82,88,96
male,group A,some high school,free/reduced,none,54,48,43
male,group B,some college,free/reduced,none,62,56,61
male,group A,associate's degree,free/reduced,none,46,59,44
male,group C,high school,free/reduced,completed,55,51,51
male,group A,high school,free/reduced,completed,67,68,65
male,group C,high school,standard,none,74,84,72
female,group D,high school,free/reduced,completed,52,56,56
male,group E,some college,standard,completed,87,78,78
female,group B,associate's degree,standard,none,55,67,68
male,group D,some college,standard,completed,78,62,64
male,group C,bachelor's degree,standard,completed,85,85,87
female,group C,associate's degree,standard,completed,95,95,98
male,group E,associate's degree,free/reduced,completed,99,100,94
female,group B,associate's degree,standard,completed,61,81,88
female,group C,some high school,free/reduced,none,62,85,80
male,group B,some high school,standard,completed,93,88,84
female,group D,high school,standard,completed,91,100,100
female,group A,master's degree,free/reduced,none,51,63,73
female,group C,some high school,standard,completed,70,80,79
female,group B,associate's degree,standard,none,73,76,82
female,group C,some college,standard,none,61,71,75
female,group E,some college,standard,none,73,72,81
female,group D,associate's degree,standard,none,70,71,75
